#nm Abs 
800.00 0.096 
798.00 0.095 
796.00 0.095 
794.00 0.095 
792.00 0.095 
790.00 0.095 
788.00 0.095 
786.00 0.095 
784.00 0.094 
782.00 0.094 
780.00 0.094 
778.00 0.094 
776.00 0.094 
774.00 0.094 
772.00 0.093 
770.00 0.093 
768.00 0.093 
766.00 0.093 
764.00 0.093 
762.00 0.093 
760.00 0.092 
758.00 0.092 
756.00 0.092 
754.00 0.093 
752.00 0.093 
750.00 0.093 
748.00 0.093 
746.00 0.093 
744.00 0.093 
742.00 0.093 
740.00 0.094 
738.00 0.094 
736.00 0.094 
734.00 0.095 
732.00 0.095 
730.00 0.096 
728.00 0.097 
726.00 0.097 
724.00 0.098 
722.00 0.098 
720.00 0.099 
718.00 0.100 
716.00 0.101 
714.00 0.102 
712.00 0.103 
710.00 0.104 
708.00 0.105 
706.00 0.107 
704.00 0.108 
702.00 0.110 
700.00 0.111 
698.00 0.113 
696.00 0.114 
694.00 0.116 
692.00 0.118 
690.00 0.120 
688.00 0.122 
686.00 0.124 
684.00 0.126 
682.00 0.128 
680.00 0.130 
678.00 0.132 
676.00 0.134 
674.00 0.136 
672.00 0.138 
670.00 0.141 
668.00 0.143 
666.00 0.145 
664.00 0.148 
662.00 0.151 
660.00 0.154 
658.00 0.158 
656.00 0.163 
654.00 0.167 
652.00 0.172 
650.00 0.178 
648.00 0.184 
646.00 0.190 
644.00 0.197 
642.00 0.205 
640.00 0.213 
638.00 0.222 
636.00 0.231 
634.00 0.241 
632.00 0.252 
630.00 0.264 
628.00 0.275 
626.00 0.288 
624.00 0.300 
622.00 0.314 
620.00 0.327 
618.00 0.342 
616.00 0.357 
614.00 0.372 
612.00 0.387 
610.00 0.403 
608.00 0.418 
606.00 0.433 
604.00 0.449 
602.00 0.464 
600.00 0.479 
598.00 0.495 
596.00 0.510 
594.00 0.525 
592.00 0.539 
590.00 0.553 
588.00 0.566 
586.00 0.578 
584.00 0.590 
582.00 0.601 
580.00 0.611 
578.00 0.621 
576.00 0.630 
574.00 0.638 
572.00 0.645 
570.00 0.651 
568.00 0.656 
566.00 0.660 
564.00 0.663 
562.00 0.665 
560.00 0.666 
558.00 0.666 
556.00 0.665 
554.00 0.663 
552.00 0.660 
550.00 0.656 
548.00 0.652 
546.00 0.647 
544.00 0.641 
542.00 0.635 
540.00 0.628 
538.00 0.620 
536.00 0.612 
534.00 0.604 
532.00 0.595 
530.00 0.586 
528.00 0.576 
526.00 0.567 
524.00 0.556 
522.00 0.545 
520.00 0.535 
518.00 0.524 
516.00 0.514 
514.00 0.504 
512.00 0.495 
510.00 0.485 
508.00 0.476 
506.00 0.467 
504.00 0.465 
502.00 0.457 
500.00 0.450 
498.00 0.442 
496.00 0.436 
494.00 0.429 
492.00 0.424 
490.00 0.419 
488.00 0.415 
486.00 0.411 
484.00 0.408 
482.00 0.406 
480.00 0.404 
478.00 0.403 
476.00 0.403 
474.00 0.404 
472.00 0.406 
470.00 0.408 
468.00 0.411 
466.00 0.415 
464.00 0.421 
462.00 0.427 
460.00 0.434 
458.00 0.444 
456.00 0.454 
454.00 0.467 
452.00 0.482 
450.00 0.498 
448.00 0.517 
446.00 0.538 
444.00 0.560 
442.00 0.583 
440.00 0.608 
438.00 0.632 
436.00 0.657 
434.00 0.682 
432.00 0.708 
430.00 0.735 
428.00 0.763 
426.00 0.793 
424.00 0.825 
422.00 0.857 
420.00 0.891 
418.00 0.925 
416.00 0.959 
414.00 0.991 
412.00 1.022 
410.00 1.052 
408.00 1.081 
406.00 1.109 
404.00 1.138 
402.00 1.166 
400.00 1.195 
