#nm Abs 
800.00 0.018 
798.00 0.018 
796.00 0.018 
794.00 0.018 
792.00 0.018 
790.00 0.018 
788.00 0.018 
786.00 0.018 
784.00 0.018 
782.00 0.018 
780.00 0.018 
778.00 0.018 
776.00 0.018 
774.00 0.018 
772.00 0.018 
770.00 0.018 
768.00 0.018 
766.00 0.018 
764.00 0.018 
762.00 0.019 
760.00 0.020 
758.00 0.021 
756.00 0.021 
754.00 0.021 
752.00 0.021 
750.00 0.021 
748.00 0.021 
746.00 0.021 
744.00 0.021 
742.00 0.021 
740.00 0.022 
738.00 0.022 
736.00 0.022 
734.00 0.022 
732.00 0.022 
730.00 0.023 
728.00 0.023 
726.00 0.023 
724.00 0.023 
722.00 0.023 
720.00 0.023 
718.00 0.023 
716.00 0.023 
714.00 0.023 
712.00 0.023 
710.00 0.023 
708.00 0.023 
706.00 0.023 
704.00 0.023 
702.00 0.023 
700.00 0.023 
698.00 0.023 
696.00 0.024 
694.00 0.024 
692.00 0.024 
690.00 0.025 
688.00 0.025 
686.00 0.026 
684.00 0.026 
682.00 0.027 
680.00 0.028 
678.00 0.028 
676.00 0.030 
674.00 0.031 
672.00 0.032 
670.00 0.034 
668.00 0.037 
666.00 0.039 
664.00 0.042 
662.00 0.046 
660.00 0.049 
658.00 0.053 
656.00 0.058 
654.00 0.063 
652.00 0.069 
650.00 0.076 
648.00 0.084 
646.00 0.092 
644.00 0.100 
642.00 0.110 
640.00 0.120 
638.00 0.131 
636.00 0.143 
634.00 0.156 
632.00 0.170 
630.00 0.184 
628.00 0.199 
626.00 0.215 
624.00 0.232 
622.00 0.249 
620.00 0.267 
618.00 0.286 
616.00 0.305 
614.00 0.325 
612.00 0.345 
610.00 0.365 
608.00 0.384 
606.00 0.404 
604.00 0.423 
602.00 0.442 
600.00 0.461 
598.00 0.479 
596.00 0.497 
594.00 0.515 
592.00 0.531 
590.00 0.546 
588.00 0.560 
586.00 0.573 
584.00 0.585 
582.00 0.596 
580.00 0.605 
578.00 0.614 
576.00 0.621 
574.00 0.627 
572.00 0.632 
570.00 0.636 
568.00 0.639 
566.00 0.640 
564.00 0.640 
562.00 0.639 
560.00 0.637 
558.00 0.634 
556.00 0.630 
554.00 0.625 
552.00 0.618 
550.00 0.611 
548.00 0.604 
546.00 0.596 
544.00 0.586 
542.00 0.577 
540.00 0.566 
538.00 0.555 
536.00 0.544 
534.00 0.531 
532.00 0.519 
530.00 0.506 
528.00 0.493 
526.00 0.480 
524.00 0.466 
522.00 0.451 
520.00 0.438 
518.00 0.424 
516.00 0.411 
514.00 0.398 
512.00 0.385 
510.00 0.373 
508.00 0.361 
506.00 0.349 
504.00 0.341 
502.00 0.330 
500.00 0.320 
498.00 0.310 
496.00 0.300 
494.00 0.291 
492.00 0.282 
490.00 0.274 
488.00 0.266 
486.00 0.260 
484.00 0.253 
482.00 0.248 
480.00 0.243 
478.00 0.238 
476.00 0.234 
474.00 0.231 
472.00 0.229 
470.00 0.227 
468.00 0.226 
466.00 0.226 
464.00 0.226 
462.00 0.228 
460.00 0.230 
458.00 0.232 
456.00 0.236 
454.00 0.240 
452.00 0.246 
450.00 0.253 
448.00 0.262 
446.00 0.271 
444.00 0.282 
442.00 0.294 
440.00 0.306 
438.00 0.319 
436.00 0.332 
434.00 0.345 
432.00 0.358 
430.00 0.373 
428.00 0.388 
426.00 0.404 
424.00 0.422 
422.00 0.441 
420.00 0.460 
418.00 0.480 
416.00 0.501 
414.00 0.522 
412.00 0.543 
410.00 0.564 
408.00 0.585 
406.00 0.606 
404.00 0.627 
402.00 0.649 
400.00 0.674 
