#nm Abs 
800.00 -0.013 
798.00 -0.013 
796.00 -0.013 
794.00 -0.013 
792.00 -0.013 
790.00 -0.013 
788.00 -0.013 
786.00 -0.013 
784.00 -0.013 
782.00 -0.013 
780.00 -0.013 
778.00 -0.013 
776.00 -0.013 
774.00 -0.013 
772.00 -0.013 
770.00 -0.013 
768.00 -0.013 
766.00 -0.013 
764.00 -0.013 
762.00 -0.013 
760.00 -0.013 
758.00 -0.013 
756.00 -0.013 
754.00 -0.013 
752.00 -0.013 
750.00 -0.013 
748.00 -0.013 
746.00 -0.013 
744.00 -0.013 
742.00 -0.013 
740.00 -0.012 
738.00 -0.012 
736.00 -0.012 
734.00 -0.012 
732.00 -0.011 
730.00 -0.011 
728.00 -0.011 
726.00 -0.011 
724.00 -0.011 
722.00 -0.010 
720.00 -0.010 
718.00 -0.010 
716.00 -0.010 
714.00 -0.009 
712.00 -0.009 
710.00 -0.008 
708.00 -0.008 
706.00 -0.008 
704.00 -0.007 
702.00 -0.006 
700.00 -0.006 
698.00 -0.005 
696.00 -0.003 
694.00 -0.002 
692.00 0.001 
690.00 0.003 
688.00 0.007 
686.00 0.011 
684.00 0.016 
682.00 0.022 
680.00 0.029 
678.00 0.038 
676.00 0.049 
674.00 0.062 
672.00 0.078 
670.00 0.095 
668.00 0.114 
666.00 0.135 
664.00 0.157 
662.00 0.180 
660.00 0.203 
658.00 0.225 
656.00 0.245 
654.00 0.263 
652.00 0.278 
650.00 0.289 
648.00 0.298 
646.00 0.304 
644.00 0.309 
642.00 0.312 
640.00 0.315 
638.00 0.319 
636.00 0.322 
634.00 0.326 
632.00 0.331 
630.00 0.336 
628.00 0.341 
626.00 0.347 
624.00 0.353 
622.00 0.361 
620.00 0.369 
618.00 0.378 
616.00 0.388 
614.00 0.398 
612.00 0.409 
610.00 0.420 
608.00 0.429 
606.00 0.438 
604.00 0.446 
602.00 0.451 
600.00 0.455 
598.00 0.458 
596.00 0.458 
594.00 0.457 
592.00 0.455 
590.00 0.451 
588.00 0.446 
586.00 0.440 
584.00 0.434 
582.00 0.427 
580.00 0.420 
578.00 0.413 
576.00 0.406 
574.00 0.398 
572.00 0.391 
570.00 0.384 
568.00 0.377 
566.00 0.370 
564.00 0.363 
562.00 0.356 
560.00 0.349 
558.00 0.341 
556.00 0.333 
554.00 0.324 
552.00 0.315 
550.00 0.305 
548.00 0.296 
546.00 0.286 
544.00 0.276 
542.00 0.266 
540.00 0.256 
538.00 0.246 
536.00 0.236 
534.00 0.226 
532.00 0.216 
530.00 0.207 
528.00 0.198 
526.00 0.189 
524.00 0.181 
522.00 0.172 
520.00 0.164 
518.00 0.157 
516.00 0.149 
514.00 0.142 
512.00 0.135 
510.00 0.129 
508.00 0.122 
506.00 0.116 
504.00 0.112 
502.00 0.107 
500.00 0.102 
498.00 0.097 
496.00 0.092 
494.00 0.088 
492.00 0.084 
490.00 0.081 
488.00 0.078 
486.00 0.075 
484.00 0.073 
482.00 0.071 
480.00 0.069 
478.00 0.068 
476.00 0.067 
474.00 0.066 
472.00 0.066 
470.00 0.066 
468.00 0.066 
466.00 0.067 
464.00 0.068 
462.00 0.068 
460.00 0.069 
458.00 0.071 
456.00 0.072 
454.00 0.073 
452.00 0.074 
450.00 0.076 
448.00 0.077 
446.00 0.079 
444.00 0.080 
442.00 0.081 
440.00 0.083 
438.00 0.084 
436.00 0.086 
434.00 0.088 
432.00 0.089 
430.00 0.091 
428.00 0.093 
426.00 0.094 
424.00 0.096 
422.00 0.098 
420.00 0.100 
418.00 0.102 
416.00 0.104 
414.00 0.106 
412.00 0.108 
410.00 0.110 
408.00 0.113 
406.00 0.115 
404.00 0.118 
402.00 0.122 
400.00 0.125 
