#nm Abs 
800.00 -0.003 
798.00 -0.003 
796.00 -0.003 
794.00 -0.003 
792.00 -0.003 
790.00 -0.003 
788.00 -0.003 
786.00 -0.003 
784.00 -0.003 
782.00 -0.003 
780.00 -0.003 
778.00 -0.003 
776.00 -0.003 
774.00 -0.003 
772.00 -0.003 
770.00 -0.003 
768.00 -0.003 
766.00 -0.003 
764.00 -0.003 
762.00 -0.003 
760.00 -0.002 
758.00 -0.002 
756.00 -0.002 
754.00 -0.002 
752.00 -0.002 
750.00 -0.002 
748.00 -0.002 
746.00 -0.002 
744.00 -0.002 
742.00 -0.002 
740.00 -0.002 
738.00 -0.002 
736.00 -0.002 
734.00 -0.002 
732.00 -0.002 
730.00 -0.001 
728.00 -0.001 
726.00 -0.001 
724.00 -0.001 
722.00 -0.001 
720.00 -0.001 
718.00 -0.001 
716.00 -0.001 
714.00 0.000 
712.00 0.000 
710.00 0.000 
708.00 0.000 
706.00 0.001 
704.00 0.001 
702.00 0.002 
700.00 0.002 
698.00 0.003 
696.00 0.004 
694.00 0.006 
692.00 0.008 
690.00 0.010 
688.00 0.012 
686.00 0.015 
684.00 0.019 
682.00 0.023 
680.00 0.028 
678.00 0.034 
676.00 0.041 
674.00 0.049 
672.00 0.058 
670.00 0.068 
668.00 0.079 
666.00 0.091 
664.00 0.103 
662.00 0.116 
660.00 0.129 
658.00 0.141 
656.00 0.153 
654.00 0.163 
652.00 0.171 
650.00 0.179 
648.00 0.184 
646.00 0.189 
644.00 0.192 
642.00 0.195 
640.00 0.197 
638.00 0.200 
636.00 0.203 
634.00 0.206 
632.00 0.209 
630.00 0.212 
628.00 0.216 
626.00 0.220 
624.00 0.224 
622.00 0.228 
620.00 0.234 
618.00 0.239 
616.00 0.245 
614.00 0.252 
612.00 0.258 
610.00 0.264 
608.00 0.270 
606.00 0.276 
604.00 0.281 
602.00 0.285 
600.00 0.288 
598.00 0.291 
596.00 0.292 
594.00 0.292 
592.00 0.292 
590.00 0.291 
588.00 0.289 
586.00 0.287 
584.00 0.284 
582.00 0.281 
580.00 0.278 
578.00 0.274 
576.00 0.270 
574.00 0.266 
572.00 0.263 
570.00 0.259 
568.00 0.255 
566.00 0.251 
564.00 0.246 
562.00 0.242 
560.00 0.238 
558.00 0.233 
556.00 0.228 
554.00 0.223 
552.00 0.217 
550.00 0.212 
548.00 0.206 
546.00 0.200 
544.00 0.193 
542.00 0.187 
540.00 0.181 
538.00 0.175 
536.00 0.168 
534.00 0.162 
532.00 0.156 
530.00 0.150 
528.00 0.144 
526.00 0.138 
524.00 0.132 
522.00 0.127 
520.00 0.122 
518.00 0.116 
516.00 0.112 
514.00 0.107 
512.00 0.102 
510.00 0.098 
508.00 0.094 
506.00 0.089 
504.00 0.086 
502.00 0.083 
500.00 0.079 
498.00 0.076 
496.00 0.073 
494.00 0.070 
492.00 0.068 
490.00 0.065 
488.00 0.063 
486.00 0.062 
484.00 0.060 
482.00 0.059 
480.00 0.058 
478.00 0.057 
476.00 0.057 
474.00 0.057 
472.00 0.057 
470.00 0.057 
468.00 0.057 
466.00 0.058 
464.00 0.058 
462.00 0.059 
460.00 0.060 
458.00 0.061 
456.00 0.062 
454.00 0.063 
452.00 0.065 
450.00 0.066 
448.00 0.067 
446.00 0.068 
444.00 0.070 
442.00 0.071 
440.00 0.073 
438.00 0.074 
436.00 0.076 
434.00 0.077 
432.00 0.079 
430.00 0.080 
428.00 0.082 
426.00 0.084 
424.00 0.085 
422.00 0.087 
420.00 0.089 
418.00 0.091 
416.00 0.093 
414.00 0.095 
412.00 0.097 
410.00 0.100 
408.00 0.102 
406.00 0.104 
404.00 0.107 
402.00 0.110 
400.00 0.112 
