#nm Abs 
800.00 -0.006 
798.00 -0.006 
796.00 -0.006 
794.00 -0.006 
792.00 -0.006 
790.00 -0.006 
788.00 -0.007 
786.00 -0.007 
784.00 -0.007 
782.00 -0.007 
780.00 -0.007 
778.00 -0.007 
776.00 -0.007 
774.00 -0.008 
772.00 -0.008 
770.00 -0.008 
768.00 -0.008 
766.00 -0.008 
764.00 -0.008 
762.00 -0.008 
760.00 -0.008 
758.00 -0.008 
756.00 -0.008 
754.00 -0.008 
752.00 -0.009 
750.00 -0.009 
748.00 -0.009 
746.00 -0.009 
744.00 -0.009 
742.00 -0.009 
740.00 -0.009 
738.00 -0.009 
736.00 -0.008 
734.00 -0.008 
732.00 -0.008 
730.00 -0.008 
728.00 -0.008 
726.00 -0.008 
724.00 -0.008 
722.00 -0.008 
720.00 -0.008 
718.00 -0.008 
716.00 -0.008 
714.00 -0.008 
712.00 -0.007 
710.00 -0.007 
708.00 -0.006 
706.00 -0.006 
704.00 -0.006 
702.00 -0.005 
700.00 -0.004 
698.00 -0.003 
696.00 -0.002 
694.00 0.000 
692.00 0.002 
690.00 0.004 
688.00 0.007 
686.00 0.010 
684.00 0.014 
682.00 0.018 
680.00 0.024 
678.00 0.030 
676.00 0.038 
674.00 0.047 
672.00 0.057 
670.00 0.069 
668.00 0.082 
666.00 0.096 
664.00 0.112 
662.00 0.129 
660.00 0.147 
658.00 0.165 
656.00 0.183 
654.00 0.200 
652.00 0.216 
650.00 0.230 
648.00 0.242 
646.00 0.252 
644.00 0.260 
642.00 0.266 
640.00 0.271 
638.00 0.274 
636.00 0.277 
634.00 0.280 
632.00 0.282 
630.00 0.284 
628.00 0.287 
626.00 0.289 
624.00 0.292 
622.00 0.295 
620.00 0.299 
618.00 0.303 
616.00 0.308 
614.00 0.313 
612.00 0.318 
610.00 0.324 
608.00 0.330 
606.00 0.336 
604.00 0.341 
602.00 0.345 
600.00 0.349 
598.00 0.351 
596.00 0.353 
594.00 0.353 
592.00 0.352 
590.00 0.350 
588.00 0.346 
586.00 0.342 
584.00 0.337 
582.00 0.332 
580.00 0.326 
578.00 0.320 
576.00 0.313 
574.00 0.307 
572.00 0.301 
570.00 0.295 
568.00 0.289 
566.00 0.283 
564.00 0.277 
562.00 0.271 
560.00 0.265 
558.00 0.260 
556.00 0.253 
554.00 0.247 
552.00 0.241 
550.00 0.234 
548.00 0.227 
546.00 0.220 
544.00 0.213 
542.00 0.206 
540.00 0.198 
538.00 0.191 
536.00 0.183 
534.00 0.176 
532.00 0.169 
530.00 0.162 
528.00 0.155 
526.00 0.148 
524.00 0.142 
522.00 0.136 
520.00 0.130 
518.00 0.124 
516.00 0.119 
514.00 0.114 
512.00 0.109 
510.00 0.104 
508.00 0.100 
506.00 0.095 
504.00 0.092 
502.00 0.089 
500.00 0.085 
498.00 0.081 
496.00 0.078 
494.00 0.075 
492.00 0.073 
490.00 0.071 
488.00 0.069 
486.00 0.067 
484.00 0.066 
482.00 0.065 
480.00 0.064 
478.00 0.064 
476.00 0.064 
474.00 0.064 
472.00 0.064 
470.00 0.065 
468.00 0.066 
466.00 0.067 
464.00 0.069 
462.00 0.070 
460.00 0.072 
458.00 0.074 
456.00 0.076 
454.00 0.078 
452.00 0.080 
450.00 0.082 
448.00 0.085 
446.00 0.087 
444.00 0.088 
442.00 0.091 
440.00 0.093 
438.00 0.095 
436.00 0.097 
434.00 0.099 
432.00 0.101 
430.00 0.103 
428.00 0.105 
426.00 0.107 
424.00 0.109 
422.00 0.112 
420.00 0.114 
418.00 0.116 
416.00 0.119 
414.00 0.122 
412.00 0.124 
410.00 0.127 
408.00 0.130 
406.00 0.133 
404.00 0.136 
402.00 0.141 
400.00 0.144 
