#nm Abs 
800.00 -0.020 
798.00 -0.020 
796.00 -0.020 
794.00 -0.020 
792.00 -0.020 
790.00 -0.020 
788.00 -0.020 
786.00 -0.020 
784.00 -0.020 
782.00 -0.021 
780.00 -0.021 
778.00 -0.021 
776.00 -0.021 
774.00 -0.021 
772.00 -0.021 
770.00 -0.021 
768.00 -0.021 
766.00 -0.021 
764.00 -0.021 
762.00 -0.021 
760.00 -0.020 
758.00 -0.020 
756.00 -0.020 
754.00 -0.020 
752.00 -0.020 
750.00 -0.020 
748.00 -0.020 
746.00 -0.020 
744.00 -0.020 
742.00 -0.020 
740.00 -0.019 
738.00 -0.019 
736.00 -0.019 
734.00 -0.019 
732.00 -0.019 
730.00 -0.018 
728.00 -0.018 
726.00 -0.018 
724.00 -0.018 
722.00 -0.018 
720.00 -0.017 
718.00 -0.017 
716.00 -0.017 
714.00 -0.016 
712.00 -0.016 
710.00 -0.015 
708.00 -0.014 
706.00 -0.013 
704.00 -0.012 
702.00 -0.010 
700.00 -0.008 
698.00 -0.006 
696.00 -0.003 
694.00 0.001 
692.00 0.005 
690.00 0.010 
688.00 0.017 
686.00 0.024 
684.00 0.033 
682.00 0.044 
680.00 0.057 
678.00 0.073 
676.00 0.092 
674.00 0.114 
672.00 0.141 
670.00 0.170 
668.00 0.204 
666.00 0.242 
664.00 0.283 
662.00 0.328 
660.00 0.377 
658.00 0.425 
656.00 0.474 
654.00 0.520 
652.00 0.562 
650.00 0.599 
648.00 0.629 
646.00 0.653 
644.00 0.670 
642.00 0.682 
640.00 0.690 
638.00 0.695 
636.00 0.697 
634.00 0.699 
632.00 0.700 
630.00 0.702 
628.00 0.705 
626.00 0.707 
624.00 0.711 
622.00 0.715 
620.00 0.721 
618.00 0.728 
616.00 0.736 
614.00 0.747 
612.00 0.758 
610.00 0.770 
608.00 0.783 
606.00 0.795 
604.00 0.806 
602.00 0.815 
600.00 0.822 
598.00 0.826 
596.00 0.826 
594.00 0.823 
592.00 0.817 
590.00 0.808 
588.00 0.796 
586.00 0.781 
584.00 0.765 
582.00 0.748 
580.00 0.730 
578.00 0.711 
576.00 0.691 
574.00 0.672 
572.00 0.654 
570.00 0.636 
568.00 0.619 
566.00 0.603 
564.00 0.587 
562.00 0.572 
560.00 0.557 
558.00 0.541 
556.00 0.526 
554.00 0.510 
552.00 0.494 
550.00 0.477 
548.00 0.461 
546.00 0.443 
544.00 0.426 
542.00 0.408 
540.00 0.390 
538.00 0.372 
536.00 0.354 
534.00 0.337 
532.00 0.320 
530.00 0.303 
528.00 0.288 
526.00 0.273 
524.00 0.259 
522.00 0.245 
520.00 0.232 
518.00 0.220 
516.00 0.208 
514.00 0.197 
512.00 0.186 
510.00 0.176 
508.00 0.166 
506.00 0.157 
504.00 0.148 
502.00 0.141 
500.00 0.133 
498.00 0.126 
496.00 0.119 
494.00 0.113 
492.00 0.108 
490.00 0.103 
488.00 0.100 
486.00 0.097 
484.00 0.094 
482.00 0.092 
480.00 0.091 
478.00 0.091 
476.00 0.091 
474.00 0.092 
472.00 0.093 
470.00 0.095 
468.00 0.098 
466.00 0.101 
464.00 0.104 
462.00 0.107 
460.00 0.111 
458.00 0.115 
456.00 0.119 
454.00 0.124 
452.00 0.128 
450.00 0.132 
448.00 0.136 
446.00 0.139 
444.00 0.142 
442.00 0.145 
440.00 0.148 
438.00 0.151 
436.00 0.154 
434.00 0.156 
432.00 0.158 
430.00 0.160 
428.00 0.162 
426.00 0.163 
424.00 0.164 
422.00 0.165 
420.00 0.166 
418.00 0.167 
416.00 0.168 
414.00 0.168 
412.00 0.169 
410.00 0.169 
408.00 0.169 
406.00 0.170 
404.00 0.170 
402.00 0.171 
400.00 0.172 
