#nm Abs 
800.00 -0.012 
798.00 -0.012 
796.00 -0.012 
794.00 -0.012 
792.00 -0.012 
790.00 -0.012 
788.00 -0.012 
786.00 -0.012 
784.00 -0.012 
782.00 -0.012 
780.00 -0.012 
778.00 -0.012 
776.00 -0.012 
774.00 -0.012 
772.00 -0.012 
770.00 -0.012 
768.00 -0.012 
766.00 -0.012 
764.00 -0.012 
762.00 -0.012 
760.00 -0.011 
758.00 -0.011 
756.00 -0.011 
754.00 -0.011 
752.00 -0.011 
750.00 -0.011 
748.00 -0.010 
746.00 -0.010 
744.00 -0.010 
742.00 -0.009 
740.00 -0.008 
738.00 -0.008 
736.00 -0.007 
734.00 -0.007 
732.00 -0.007 
730.00 -0.007 
728.00 -0.008 
726.00 -0.008 
724.00 -0.008 
722.00 -0.008 
720.00 -0.008 
718.00 -0.008 
716.00 -0.008 
714.00 -0.008 
712.00 -0.008 
710.00 -0.007 
708.00 -0.007 
706.00 -0.007 
704.00 -0.006 
702.00 -0.006 
700.00 -0.005 
698.00 -0.005 
696.00 -0.004 
694.00 -0.003 
692.00 -0.002 
690.00 -0.001 
688.00 0.001 
686.00 0.002 
684.00 0.004 
682.00 0.007 
680.00 0.010 
678.00 0.013 
676.00 0.017 
674.00 0.021 
672.00 0.026 
670.00 0.032 
668.00 0.038 
666.00 0.044 
664.00 0.051 
662.00 0.058 
660.00 0.065 
658.00 0.073 
656.00 0.080 
654.00 0.087 
652.00 0.094 
650.00 0.101 
648.00 0.107 
646.00 0.112 
644.00 0.118 
642.00 0.123 
640.00 0.128 
638.00 0.133 
636.00 0.138 
634.00 0.144 
632.00 0.150 
630.00 0.156 
628.00 0.162 
626.00 0.168 
624.00 0.175 
622.00 0.182 
620.00 0.190 
618.00 0.198 
616.00 0.206 
614.00 0.215 
612.00 0.224 
610.00 0.233 
608.00 0.241 
606.00 0.250 
604.00 0.258 
602.00 0.266 
600.00 0.274 
598.00 0.282 
596.00 0.288 
594.00 0.295 
592.00 0.301 
590.00 0.306 
588.00 0.310 
586.00 0.314 
584.00 0.318 
582.00 0.321 
580.00 0.323 
578.00 0.326 
576.00 0.327 
574.00 0.328 
572.00 0.329 
570.00 0.329 
568.00 0.329 
566.00 0.329 
564.00 0.327 
562.00 0.326 
560.00 0.324 
558.00 0.321 
556.00 0.318 
554.00 0.314 
552.00 0.309 
550.00 0.305 
548.00 0.300 
546.00 0.294 
544.00 0.289 
542.00 0.282 
540.00 0.276 
538.00 0.269 
536.00 0.262 
534.00 0.255 
532.00 0.248 
530.00 0.241 
528.00 0.234 
526.00 0.226 
524.00 0.219 
522.00 0.211 
520.00 0.204 
518.00 0.197 
516.00 0.190 
514.00 0.183 
512.00 0.176 
510.00 0.169 
508.00 0.163 
506.00 0.157 
504.00 0.152 
502.00 0.146 
500.00 0.141 
498.00 0.135 
496.00 0.130 
494.00 0.125 
492.00 0.121 
490.00 0.116 
488.00 0.112 
486.00 0.109 
484.00 0.105 
482.00 0.102 
480.00 0.100 
478.00 0.097 
476.00 0.095 
474.00 0.093 
472.00 0.091 
470.00 0.090 
468.00 0.089 
466.00 0.088 
464.00 0.088 
462.00 0.088 
460.00 0.088 
458.00 0.088 
456.00 0.088 
454.00 0.089 
452.00 0.089 
450.00 0.090 
448.00 0.091 
446.00 0.092 
444.00 0.094 
442.00 0.095 
440.00 0.097 
438.00 0.099 
436.00 0.100 
434.00 0.103 
432.00 0.105 
430.00 0.108 
428.00 0.110 
426.00 0.113 
424.00 0.116 
422.00 0.120 
420.00 0.123 
418.00 0.127 
416.00 0.131 
414.00 0.135 
412.00 0.140 
410.00 0.145 
408.00 0.150 
406.00 0.155 
404.00 0.161 
402.00 0.168 
400.00 0.173 
