#nm Abs 
800.00 -0.011 
798.00 -0.011 
796.00 -0.011 
794.00 -0.011 
792.00 -0.011 
790.00 -0.011 
788.00 -0.011 
786.00 -0.011 
784.00 -0.011 
782.00 -0.011 
780.00 -0.011 
778.00 -0.011 
776.00 -0.011 
774.00 -0.011 
772.00 -0.011 
770.00 -0.011 
768.00 -0.011 
766.00 -0.012 
764.00 -0.012 
762.00 -0.012 
760.00 -0.012 
758.00 -0.012 
756.00 -0.012 
754.00 -0.011 
752.00 -0.011 
750.00 -0.011 
748.00 -0.011 
746.00 -0.011 
744.00 -0.011 
742.00 -0.010 
740.00 -0.010 
738.00 -0.009 
736.00 -0.009 
734.00 -0.008 
732.00 -0.008 
730.00 -0.009 
728.00 -0.009 
726.00 -0.009 
724.00 -0.010 
722.00 -0.010 
720.00 -0.010 
718.00 -0.010 
716.00 -0.010 
714.00 -0.009 
712.00 -0.009 
710.00 -0.008 
708.00 -0.007 
706.00 -0.007 
704.00 -0.006 
702.00 -0.004 
700.00 -0.003 
698.00 -0.002 
696.00 0.000 
694.00 0.002 
692.00 0.005 
690.00 0.008 
688.00 0.012 
686.00 0.017 
684.00 0.022 
682.00 0.029 
680.00 0.036 
678.00 0.045 
676.00 0.056 
674.00 0.068 
672.00 0.082 
670.00 0.097 
668.00 0.115 
666.00 0.133 
664.00 0.153 
662.00 0.174 
660.00 0.197 
658.00 0.219 
656.00 0.241 
654.00 0.263 
652.00 0.283 
650.00 0.302 
648.00 0.320 
646.00 0.337 
644.00 0.352 
642.00 0.367 
640.00 0.382 
638.00 0.397 
636.00 0.412 
634.00 0.428 
632.00 0.444 
630.00 0.461 
628.00 0.479 
626.00 0.498 
624.00 0.517 
622.00 0.538 
620.00 0.559 
618.00 0.582 
616.00 0.606 
614.00 0.630 
612.00 0.655 
610.00 0.679 
608.00 0.703 
606.00 0.726 
604.00 0.748 
602.00 0.769 
600.00 0.788 
598.00 0.806 
596.00 0.823 
594.00 0.836 
592.00 0.848 
590.00 0.858 
588.00 0.866 
586.00 0.872 
584.00 0.876 
582.00 0.879 
580.00 0.880 
578.00 0.880 
576.00 0.878 
574.00 0.876 
572.00 0.872 
570.00 0.867 
568.00 0.861 
566.00 0.854 
564.00 0.847 
562.00 0.838 
560.00 0.828 
558.00 0.816 
556.00 0.804 
554.00 0.790 
552.00 0.775 
550.00 0.759 
548.00 0.743 
546.00 0.725 
544.00 0.707 
542.00 0.689 
540.00 0.669 
538.00 0.649 
536.00 0.628 
534.00 0.608 
532.00 0.586 
530.00 0.566 
528.00 0.545 
526.00 0.524 
524.00 0.503 
522.00 0.481 
520.00 0.462 
518.00 0.442 
516.00 0.422 
514.00 0.403 
512.00 0.385 
510.00 0.367 
508.00 0.349 
506.00 0.332 
504.00 0.319 
502.00 0.304 
500.00 0.289 
498.00 0.274 
496.00 0.260 
494.00 0.247 
492.00 0.234 
490.00 0.222 
488.00 0.211 
486.00 0.201 
484.00 0.191 
482.00 0.183 
480.00 0.174 
478.00 0.167 
476.00 0.160 
474.00 0.154 
472.00 0.149 
470.00 0.144 
468.00 0.140 
466.00 0.137 
464.00 0.134 
462.00 0.132 
460.00 0.130 
458.00 0.129 
456.00 0.128 
454.00 0.127 
452.00 0.127 
450.00 0.127 
448.00 0.127 
446.00 0.127 
444.00 0.127 
442.00 0.128 
440.00 0.129 
438.00 0.130 
436.00 0.132 
434.00 0.134 
432.00 0.135 
430.00 0.137 
428.00 0.140 
426.00 0.142 
424.00 0.145 
422.00 0.148 
420.00 0.151 
418.00 0.154 
416.00 0.158 
414.00 0.162 
412.00 0.166 
410.00 0.171 
408.00 0.176 
406.00 0.182 
404.00 0.188 
402.00 0.194 
400.00 0.200 
