#nm Abs 
800.00 0.032 
798.00 0.032 
796.00 0.032 
794.00 0.032 
792.00 0.032 
790.00 0.031 
788.00 0.031 
786.00 0.031 
784.00 0.031 
782.00 0.031 
780.00 0.031 
778.00 0.030 
776.00 0.030 
774.00 0.030 
772.00 0.030 
770.00 0.030 
768.00 0.030 
766.00 0.029 
764.00 0.029 
762.00 0.029 
760.00 0.031 
758.00 0.030 
756.00 0.030 
754.00 0.030 
752.00 0.030 
750.00 0.031 
748.00 0.030 
746.00 0.030 
744.00 0.031 
742.00 0.031 
740.00 0.031 
738.00 0.031 
736.00 0.031 
734.00 0.032 
732.00 0.032 
730.00 0.033 
728.00 0.033 
726.00 0.034 
724.00 0.034 
722.00 0.034 
720.00 0.034 
718.00 0.034 
716.00 0.034 
714.00 0.035 
712.00 0.036 
710.00 0.036 
708.00 0.037 
706.00 0.038 
704.00 0.039 
702.00 0.041 
700.00 0.043 
698.00 0.045 
696.00 0.047 
694.00 0.050 
692.00 0.054 
690.00 0.059 
688.00 0.065 
686.00 0.071 
684.00 0.079 
682.00 0.088 
680.00 0.099 
678.00 0.112 
676.00 0.127 
674.00 0.146 
672.00 0.167 
670.00 0.190 
668.00 0.216 
666.00 0.244 
664.00 0.276 
662.00 0.309 
660.00 0.345 
658.00 0.381 
656.00 0.417 
654.00 0.452 
652.00 0.484 
650.00 0.513 
648.00 0.538 
646.00 0.559 
644.00 0.576 
642.00 0.590 
640.00 0.600 
638.00 0.609 
636.00 0.616 
634.00 0.622 
632.00 0.627 
630.00 0.632 
628.00 0.637 
626.00 0.643 
624.00 0.649 
622.00 0.657 
620.00 0.665 
618.00 0.674 
616.00 0.685 
614.00 0.696 
612.00 0.708 
610.00 0.721 
608.00 0.734 
606.00 0.746 
604.00 0.758 
602.00 0.769 
600.00 0.779 
598.00 0.786 
596.00 0.792 
594.00 0.795 
592.00 0.796 
590.00 0.794 
588.00 0.791 
586.00 0.785 
584.00 0.779 
582.00 0.771 
580.00 0.762 
578.00 0.752 
576.00 0.742 
574.00 0.731 
572.00 0.721 
570.00 0.710 
568.00 0.699 
566.00 0.689 
564.00 0.678 
562.00 0.668 
560.00 0.657 
558.00 0.646 
556.00 0.634 
554.00 0.621 
552.00 0.608 
550.00 0.594 
548.00 0.580 
546.00 0.566 
544.00 0.551 
542.00 0.535 
540.00 0.519 
538.00 0.503 
536.00 0.486 
534.00 0.469 
532.00 0.453 
530.00 0.437 
528.00 0.421 
526.00 0.406 
524.00 0.391 
522.00 0.376 
520.00 0.362 
518.00 0.348 
516.00 0.334 
514.00 0.321 
512.00 0.308 
510.00 0.295 
508.00 0.283 
506.00 0.272 
504.00 0.261 
502.00 0.250 
500.00 0.240 
498.00 0.230 
496.00 0.221 
494.00 0.212 
492.00 0.204 
490.00 0.197 
488.00 0.190 
486.00 0.184 
484.00 0.179 
482.00 0.174 
480.00 0.170 
478.00 0.167 
476.00 0.164 
474.00 0.162 
472.00 0.160 
470.00 0.159 
468.00 0.159 
466.00 0.159 
464.00 0.160 
462.00 0.161 
460.00 0.162 
458.00 0.164 
456.00 0.166 
454.00 0.167 
452.00 0.169 
450.00 0.171 
448.00 0.174 
446.00 0.175 
444.00 0.177 
442.00 0.179 
440.00 0.181 
438.00 0.183 
436.00 0.185 
434.00 0.187 
432.00 0.189 
430.00 0.191 
428.00 0.192 
426.00 0.194 
424.00 0.196 
422.00 0.197 
420.00 0.199 
418.00 0.200 
416.00 0.202 
414.00 0.204 
412.00 0.205 
410.00 0.207 
408.00 0.208 
406.00 0.210 
404.00 0.212 
402.00 0.215 
400.00 0.216 
