#nm Abs 
800.00 -0.017 
798.00 -0.017 
796.00 -0.017 
794.00 -0.017 
792.00 -0.017 
790.00 -0.017 
788.00 -0.017 
786.00 -0.017 
784.00 -0.017 
782.00 -0.017 
780.00 -0.018 
778.00 -0.018 
776.00 -0.018 
774.00 -0.018 
772.00 -0.018 
770.00 -0.018 
768.00 -0.018 
766.00 -0.018 
764.00 -0.018 
762.00 -0.018 
760.00 -0.017 
758.00 -0.017 
756.00 -0.017 
754.00 -0.017 
752.00 -0.017 
750.00 -0.017 
748.00 -0.017 
746.00 -0.017 
744.00 -0.017 
742.00 -0.017 
740.00 -0.017 
738.00 -0.016 
736.00 -0.016 
734.00 -0.016 
732.00 -0.015 
730.00 -0.015 
728.00 -0.015 
726.00 -0.014 
724.00 -0.014 
722.00 -0.014 
720.00 -0.014 
718.00 -0.014 
716.00 -0.014 
714.00 -0.014 
712.00 -0.014 
710.00 -0.013 
708.00 -0.013 
706.00 -0.012 
704.00 -0.012 
702.00 -0.011 
700.00 -0.010 
698.00 -0.009 
696.00 -0.007 
694.00 -0.006 
692.00 -0.004 
690.00 -0.001 
688.00 0.002 
686.00 0.005 
684.00 0.009 
682.00 0.014 
680.00 0.020 
678.00 0.027 
676.00 0.036 
674.00 0.046 
672.00 0.058 
670.00 0.071 
668.00 0.085 
666.00 0.101 
664.00 0.119 
662.00 0.138 
660.00 0.158 
658.00 0.179 
656.00 0.199 
654.00 0.219 
652.00 0.236 
650.00 0.252 
648.00 0.266 
646.00 0.276 
644.00 0.285 
642.00 0.291 
640.00 0.295 
638.00 0.298 
636.00 0.301 
634.00 0.302 
632.00 0.303 
630.00 0.304 
628.00 0.306 
626.00 0.307 
624.00 0.309 
622.00 0.312 
620.00 0.315 
618.00 0.318 
616.00 0.323 
614.00 0.327 
612.00 0.333 
610.00 0.338 
608.00 0.344 
606.00 0.350 
604.00 0.355 
602.00 0.360 
600.00 0.364 
598.00 0.366 
596.00 0.368 
594.00 0.367 
592.00 0.366 
590.00 0.363 
588.00 0.359 
586.00 0.354 
584.00 0.349 
582.00 0.342 
580.00 0.336 
578.00 0.328 
576.00 0.321 
574.00 0.314 
572.00 0.306 
570.00 0.299 
568.00 0.293 
566.00 0.286 
564.00 0.280 
562.00 0.273 
560.00 0.267 
558.00 0.261 
556.00 0.254 
554.00 0.248 
552.00 0.241 
550.00 0.234 
548.00 0.226 
546.00 0.219 
544.00 0.212 
542.00 0.204 
540.00 0.196 
538.00 0.188 
536.00 0.180 
534.00 0.172 
532.00 0.165 
530.00 0.158 
528.00 0.151 
526.00 0.144 
524.00 0.137 
522.00 0.131 
520.00 0.125 
518.00 0.119 
516.00 0.114 
514.00 0.108 
512.00 0.103 
510.00 0.099 
508.00 0.094 
506.00 0.090 
504.00 0.086 
502.00 0.082 
500.00 0.079 
498.00 0.075 
496.00 0.072 
494.00 0.069 
492.00 0.067 
490.00 0.065 
488.00 0.063 
486.00 0.062 
484.00 0.061 
482.00 0.060 
480.00 0.059 
478.00 0.059 
476.00 0.060 
474.00 0.060 
472.00 0.061 
470.00 0.062 
468.00 0.064 
466.00 0.065 
464.00 0.067 
462.00 0.069 
460.00 0.072 
458.00 0.074 
456.00 0.076 
454.00 0.079 
452.00 0.081 
450.00 0.083 
448.00 0.086 
446.00 0.088 
444.00 0.090 
442.00 0.092 
440.00 0.094 
438.00 0.097 
436.00 0.099 
434.00 0.101 
432.00 0.103 
430.00 0.105 
428.00 0.107 
426.00 0.108 
424.00 0.110 
422.00 0.113 
420.00 0.114 
418.00 0.117 
416.00 0.119 
414.00 0.121 
412.00 0.124 
410.00 0.127 
408.00 0.129 
406.00 0.133 
404.00 0.136 
402.00 0.140 
400.00 0.144 
